"Equipment","Model","S/N","Cal Date","Stations","Group"
"Rosette","36-place","Yellow","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"CTD","SBE9+",0914,"–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Pressure Sensor","Digiquartz",110547,"Feb 5, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Temperature","SBE3+",32309,"Feb 2, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Conductivity","SBE4C",43399,"Nov 25, 2020","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Pump","SBE5",51871,"–","|FIRST_STA|-|LAST_STA|",":term:`UCSD`"
"Secondary Temperature","SBE3+",32380,"Feb 2, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Conductivity","SBE4C",41880,"Dec 4, 2020","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Pump","SBE5",58690,"–","|FIRST_STA|-|LAST_STA|",":term:`UCSD`"
"Transmissometer","Cstar","1803DR","Aug 9, 2019","|FIRST_STA|-|LAST_STA|",":term:`TAMU`"
"Fluorometer Chlorophyll","WetLabs ECO-FL-RTD","1156","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Dissolved Oxygen","SBE43",430255,"Nov 13, 2020","|FIRST_STA|-|LAST_STA|",":term:`ODF`"
"Oxygen Optode","JFE Advantech Rinko-III",0296,"Apr 7, 2017","|FIRST_STA|-|LAST_STA|",":term:`ODF`"
"Reference Temperature","SBE35",0105,"Feb 9, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Carousel","SBE32","0187","–","|FIRST_STA|-43",":term:`STS`/:term:`ODF`"
"Carousel","SBE32","1178","–","44-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Altimeter","Valeport 500",53821,"–","|FIRST_STA|-59, 61-|LAST_STA|",":term:`UCSD`"
"Altimeter","Valeport 500",48049,"–","60",":term:`UCSD`"
"DL :term:`LADCP`","Teledyne RDI WH300",24497,"–","|FIRST_STA|-|LAST_STA|",":term:`LDEO`"
"UL :term:`LADCP`","Teledyne RDI WH300",12734,"–","|FIRST_STA|-|LAST_STA|",":term:`LDEO`"
"UVP","–",207,"–","|FIRST_STA|-|LAST_STA|",":term:`UAF`"
"D2 CTD","D2 CTD","01-1563","–","|FIRST_STA|-45",":term:`WHOI`"
"D2 CTD","D2 CTD","01-1565","–","46-|LAST_STA|",":term:`WHOI`"
"Chipods","Chipod","2008 Ti44-5","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2027 TI44-3","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2030 Ti44-11","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"